year,month,customer_state,total_price,last_month_price,growth
2017,10,PR,34694.05000000006,23555.920000000053,47.28
2017,11,PR,48507.750000000124,34694.05000000006,39.82
2017,12,PR,30456.790000000114,48507.750000000124,-37.21
2018,01,PR,47962.65000000015,30456.790000000114,57.48
2018,02,PR,46837.10000000014,47962.65000000015,-2.35
2018,03,PR,54476.09000000008,46837.10000000014,16.31
2018,04,PR,68890.15000000002,54476.09000000008,26.46
2018,05,PR,47984.18000000012,68890.15000000002,-30.35
2018,06,PR,43188.8000000001,47984.18000000012,-9.99
2018,07,PR,48092.62000000004,43188.8000000001,11.35
2018,08,PR,43591.07000000007,48092.62000000004,-9.36
2016,10,RJ,11772.73999999999,,
2017,01,RJ,15191.589999999978,11772.73999999999,29.04
2017,02,RJ,34044.51000000009,15191.589999999978,124.1
2017,03,RJ,62163.52000000015,34044.51000000009,82.59
2017,04,RJ,60292.17000000014,62163.52000000015,-3.01
2017,05,RJ,80539.83999999987,60292.17000000014,33.58
2017,06,RJ,56876.130000000136,80539.83999999987,-29.38
2017,07,RJ,86485.10999999981,56876.130000000136,52.06
2017,08,RJ,83219.27,86485.10999999981,-3.78
2017,09,RJ,101944.05000000005,83219.27,22.5
2017,10,RJ,101870.32999999977,101944.05000000005,-0.07
2017,11,RJ,155275.60999999903,101870.32999999977,52.42
2017,12,RJ,120758.73999999977,155275.60999999903,-22.23
2018,01,RJ,128608.48999999942,120758.73999999977,6.5
2018,02,RJ,124626.88999999972,128608.48999999942,-3.1
2018,03,RJ,125898.14999999938,124626.88999999972,1.02
2018,04,RJ,129921.15999999979,125898.14999999938,3.2
2018,05,RJ,129927.78999999989,129921.15999999979,0.01
2018,06,RJ,108239.4799999999,129927.78999999989,-16.69
2018,07,RJ,105380.16999999991,108239.4799999999,-2.64
2018,08,RJ,98716.78999999992,105380.16999999991,-6.32
2018,09,RJ,,98716.78999999992,
2018,10,RJ,,,
2016,10,RN,728.6899999999999,,
2017,01,RN,3668.87,728.6899999999999,403.49
2017,02,RN,508.9,3668.87,-86.13
2017,03,RN,2441.52,508.9,379.76
2017,04,RN,1463.6700000000005,2441.52,-40.05
2017,05,RN,5263.150000000001,1463.6700000000005,259.59
2017,06,RN,1449.34,5263.150000000001,-72.46
2017,07,RN,3223.8900000000003,1449.34,122.44
2017,08,RN,2545.4100000000003,3223.8900000000003,-21.05
2017,09,RN,3445.94,2545.4100000000003,35.38
2017,10,RN,4297.47,3445.94,24.71
2017,11,RN,8595.179999999997,4297.47,100.01
2017,12,RN,3508.3099999999986,8595.179999999997,-59.18
2018,01,RN,6065.94,3508.3099999999986,72.9
2018,02,RN,3218.19,6065.94,-46.95
2018,03,RN,13373.419999999993,3218.19,315.56
2018,04,RN,6001.739999999999,13373.419999999993,-55.12
2018,05,RN,4233.0199999999995,6001.739999999999,-29.47
2018,06,RN,6657.419999999997,4233.0199999999995,57.27
2018,07,RN,8681.419999999998,6657.419999999997,30.4
2018,08,RN,5236.369999999999,8681.419999999998,-39.68
2017,01,RO,682.1899999999999,,
2017,02,RO,1622.16,682.1899999999999,137.79
2017,03,RO,1864.8600000000004,1622.16,14.96
2017,04,RO,1077.58,1864.8600000000004,-42.22
2017,05,RO,551.46,1077.58,-48.82
2017,06,RO,2250.8200000000006,551.46,308.16
2017,07,RO,1083.7199999999998,2250.8200000000006,-51.85
2017,08,RO,2253.8700000000003,1083.7199999999998,107.98
2017,09,RO,4197.99,2253.8700000000003,86.26
